code,libelle
4612B,automobiles et des motocycles Centrales d'achat de carburant
4613Z,"automobiles et des motocycles métaux, minéraux et produits chimiques"
4614Z,automobiles et des motocycles construction
4615Z,"automobiles et des motocycles industriels, navires et avions"
4616Z,automobiles et des motocycles ménage et quincaillerie
4617A,"automobiles et des motocycles fourrures, chaussures et articles en cuir"
4617B,automobiles et des motocycles Centrales d'achat alimentaires
4618Z,automobiles et des motocycles tabac
4619A,automobiles et des motocycles produits spécifiques
4619B,automobiles et des motocycles Centrales d'achat non alimentaires
4622Z,Commerce de gros (commerce interentreprises) de
4623Z,automobiles et des motocycles plantes
4624Z,automobiles et des motocycles vivants
4631Z,automobiles et des motocycles peaux
4632A,automobiles et des motocycles légumes
4632B,automobiles et des motocycles de boucherie
4632C,automobiles et des motocycles à base de viande
4634Z,automobiles et des motocycles et gibier
4635Z,automobiles et des motocycles boissons
4636Z,automobiles et des motocycles à base de tabac
4637Z,automobiles et des motocycles chocolat et confiserie
4638A,"automobiles et des motocycles thé, cacao et épices"
4638B,"automobiles et des motocycles poissons, crustacés et mollusques"
4639A,automobiles et des motocycles spécialisé divers
4639B,automobiles et des motocycles surgelés
4641Z,automobiles et des motocycles non spécialisé
4642Z,Commerce de gros (commerce interentreprises) de textiles
4643Z,automobiles et des motocycles d'habillement et de chaussures
4644Z,automobiles et des motocycles électroménagers
4645Z,"automobiles et des motocycles vaisselle, verrerie et produits d'entretien"
4646Z,automobiles et des motocycles parfumerie et de produits de beauté
4647Z,automobiles et des motocycles pharmaceutiques
4648Z,"automobiles et des motocycles meubles, de tapis et d'appareils d'éclairage"
4649Z,automobiles et des motocycles d'horlogerie et de bijouterie
4661Z,Commerce de gros (commerce interentreprises)
4662Z,automobiles et des motocycles agricole
4664Z,automobiles et des motocycles machines-outils
4665Z,automobiles et des motocycles machines pour l'industrie textile et l'habillement
4666Z,automobiles et des motocycles de bureau
4669A,automobiles et des motocycles machines et équipements de bureau
4669B,automobiles et des motocycles électrique
4671Z,Commerce de gros (commerce interentreprises) de
4672Z,automobiles et des motocycles combustibles et de produits annexes
4673A,automobiles et des motocycles minerais et métaux
4673B,automobiles et des motocycles de matériaux de construction
4674A,automobiles et des motocycles sanitaires et de produits de décoration
4674B,automobiles et des motocycles quincaillerie
4675Z,automobiles et des motocycles fournitures pour la plomberie et le chauffage
4676Z,automobiles et des motocycles chimiques
4677Z,automobiles et des motocycles produits intermédiaires
4690Z,automobiles et des motocycles et débris
4711A,automobiles et des motocycles spécialisé
4711B,Commerce de détail de produits surgelés
4711C,Commerce d'alimentation générale
4711D,automobiles et des motocycles Supérettes
4711E,automobiles et des motocycles Supermarchés
4711F,automobiles et des motocycles Magasins multi-commerces
4719A,automobiles et des motocycles Hypermarchés
4719B,automobiles et des motocycles Grands magasins
4721Z,Autres commerces de détail en magasin non spécialisé
4722Z,automobiles et des motocycles spécialisé
4723Z,automobiles et des motocycles viande en magasin spécialisé
4724Z,automobiles et des motocycles en magasin spécialisé
4725Z,automobiles et des motocycles magasin spécialisé
4726Z,Commerce de détail de boissons en magasin spécialisé
4729Z,automobiles et des motocycles magasin spécialisé
4730Z,automobiles et des motocycles spécialisé
4741Z,Commerce de détail de carburants en magasin spécialisé
4742Z,automobiles et des motocycles et de logiciels en magasin spécialisé
4743Z,automobiles et des motocycles magasin spécialisé
4751Z,automobiles et des motocycles spécialisé
4752A,Commerce de détail de textiles en magasin spécialisé
4752B,automobiles et des motocycles petites surfaces (moins de 400 m2)
4753Z,automobiles et des motocycles grandes surfaces (400 m2et plus)
4754Z,automobiles et des motocycles murs et de sols en magasin spécialisé
4759A,automobiles et des motocycles magasin spécialisé
4759B,Commerce de détail de meubles
4761Z,Commerce de détail d'autres équipements du foyer
4762Z,Commerce de détail de livres en magasin spécialisé
4763Z,automobiles et des motocycles magasin spécialisé
4764Z,automobiles et des motocycles en magasin spécialisé
4765Z,automobiles et des motocycles spécialisé
4771Z,Commerce de détail de jeux et jouets en magasin spécialisé
4772A,Commerce de détail d'habillement en magasin spécialisé
4772B,Commerce de détail de la chaussure
4773Z,automobiles et des motocycles voyage
4774Z,automobiles et des motocycles magasin spécialisé
4775Z,automobiles et des motocycles en magasin spécialisé
4777Z,"Commerce de détail de fleurs, plantes, graines, engrais"
4778A,automobiles et des motocycles en magasin spécialisé
4778B,automobiles et des motocycles Commerces de détail d'optique
4778C,automobiles et des motocycles Commerces de détail de charbons et combustibles
4779Z,Autres commerces de détail spécialisés divers
4781Z,Commerce de détail de biens d'occasion en magasin
4782Z,Commerce de détail alimentaire sur éventaires et marchés
4789Z,automobiles et des motocycles chaussures sur éventaires et marchés
4791A,Autres commerces de détail sur éventaires et marchés
4791B,Vente à distance sur catalogue général
4799A,Vente à distance sur catalogue spécialisé
4799B,Vente à domicile
4910Z,"automobiles et des motocycles magasin, éventaires ou marchés n.c.a."
4920Z,Transport ferroviaire interurbain de voyageurs
4931Z,Transports ferroviaires de fret
4932Z,Transports urbains et suburbains de voyageurs
4939A,Transports de voyageurs par taxis
4939B,Transports routiers réguliers de voyageurs
4939C,Autres transports routiers de voyageurs
4941A,conduites Téléphériques et remontées mécaniques
4941B,Transports routiers de fret interurbains
4941C,Transports routiers de fret de proximité
4942Z,Location de camions avec chauffeur
4950Z,Services de déménagement
5210A,Transports par conduites
5210B,transports Entreposage et stockage frigorifique
5221Z,transports Entreposage et stockage non frigorifique
5222Z,Services auxiliaires des transports terrestres
5223Z,Services auxiliaires des transports par eau
5224A,Services auxiliaires des transports aériens
5224B,transports Manutention portuaire
5229A,transports Manutention non portuaire
5229B,"transports Messagerie, fret express"
6201Z,Activités de poste dans le cadre d'une obligation de service
6202A,Programmation informatique
6202B,Conseil en systèmes et logiciels informatiques
6203Z,informatiques informatiques
6209Z,Gestion d'installations informatiques
6411Z,Autres activités informatiques
6419Z,Activités de banque centrale
6420Z,Autres intermédiations monétaires
6430Z,Activités des sociétés holding
6491Z,assurance et caisses de retraite Fonds de placement et entités financières similaires
6492Z,assurance et caisses de retraite Crédit-bail
6499Z,Autre distribution de crédit
6611Z,"assurance et caisses de retraite caisses de retraite, n.c.a."
6612Z,Administration de marchés financiers
6619A,et d'assurance Courtage de valeurs mobilières et de marchandises
6619B,et d'assurance Supports juridiques de gestion de patrimoine mobilier
6621Z,"et d'assurance assurance et caisses de retraite, n.c.a."
6622Z,et d'assurance Évaluation des risques et dommages
6629Z,Activités des agents et courtiers d'assurances
6630Z,et d'assurance retraite
7010Z,Gestion de fonds
7021Z,Activités des sièges sociaux
7022Z,Conseil en relations publiques et communication
7111Z,Conseil pour les affaires et autres conseils de gestion
7112A,Activités d'architecture
7112B,Activité des géomètres
7120A,"activités de contrôle et analyses techniques Ingénierie, études techniques"
7120B,activités de contrôle et analyses techniques Contrôle technique automobile
7410Z,"activités de contrôle et analyses techniques Analyses, essais et inspections techniques"
7420Z,Activités spécialisées de design
7430Z,Activités photographiques
7490A,Traduction et interprétation
7490B,Activité des économistes de la construction
8110Z,"Activités spécialisées, scientifiques et techniques diverses"
8121Z,Activités combinées de soutien lié aux bâtiments
8122Z,aménagement paysager Nettoyage courant des bâtiments
8129A,aménagement paysager industriel
8129B,"aménagement paysager Désinfection, désinsectisation, dératisation"
8130Z,Autres activités de nettoyage n.c.a.
8211Z,Services d'aménagement paysager
8219Z,Services administratifs combinés de bureau
8220Z,de soutien aux entreprises spécialisées de soutien de bureau
8230Z,Activités de centres d'appels
8291Z,"Organisation de foires, salons professionnels et congrès"
8292Z,de soutien aux entreprises sociétés d'information financière sur la clientèle
8299Z,Activités de conditionnement
8411Z,Autres activités de soutien aux entreprises n.c.a.
8413Z,"Administration publique (tutelle) de la santé, de la"
8421Z,Administration publique (tutelle) des activités économiques
8422Z,Affaires étrangères
8423Z,sécurité sociale obligatoire Défense
8424Z,sécurité sociale obligatoire Justice
8425Z,Activités d’ordre public et de sécurité
8430A,Services du feu et de secours
8430B,Activités générales de sécurité sociale
8430C,Gestion des retraites complémentaires
9001Z,Distribution sociale de revenus
9002Z,spectacle Arts du spectacle vivant
9003A,Activités de soutien au spectacle vivant
9003B,spectacle Création artistique relevant des arts plastiques
9004Z,Autre création artistique
9101Z,Gestion de salles de spectacles
9102Z,Gestion des bibliothèques et des archives
9103Z,Gestion des musées
9104Z,activités culturelles attractions touristiques similaires
9511Z,activités culturelles réserves naturelles
9512Z,Réparation d'ordinateurs et d'équipements périphériques
9521Z,Réparation d'équipements de communication
9522Z,Réparation de produits électroniques grand public
9523Z,personnels et domestiques pour la maison et le jardin
9524Z,Réparation de chaussures et d'articles en cuir
9525Z,Réparation de meubles et d'équipements du foyer
9529Z,Réparation d'articles d'horlogerie et de bijouterie
9700Z,Réparation d'autres biens personnels et domestiques
9900Z,qu'employeurs de personnel domestique domestique
